participantnumbers,Infantage,sex,priorexpt,angry_dt_infancy,fearful_dt_infancy,happy_dt_infancy,nonface_dt_infancy,angry_dtntrial_infancy,fearful_dtntrial_infancy,happy_dtntrial_infancy,nonface_dtntrial_infancy,dtntrial_infancy_min,angry_dt_3yr,fearful_dt_3yr,happy_dt_3yr,nonface_dt_3yr,angry_dtntrial_3yr,fearful_dtntrial_3yr,happy_dtntrial_3yr,nonface_dtntrial_3yr,dtntrial_3yr_min,AngryHappy_dt_ratio_3yr,FearfulHappy_dt_ratio_3yr,AngryHappy_sl_ratio_3yr,FearfulHappy_sl_ratio_3yr,AngryHappy_dt_ratio_infancy,FearfulHappy_dt_ratio_infancy,AngryHappy_sl_ratio_infancy,FearfulHappy_sl_ratio_infancy,DifferentERPscores,AngryHappy_P400amp_ratio_infancy,FearHappy_P400amp_ratio_infancy,AngryHappy_P400lat_ratio_infancy,FearHappy_P400lat_ratio_infancy,AngryHappy_Ncamp_ratio_infancy,FearHappy_Ncamp_ratio_infancy,AngryHappy_N290lat_ratio_infancy,FearHappy_N290lat_ratio_infancy,AngryHappy_N290amp_ratio_infancy,FearHappy_N290amp_ratio_infancy,AngryHappy_P400amp_ratio_3yr,FearHappy_P400amp_ratio_3yr,AngryHappy_P400lat_ratio_3yr,FearHappy_P400lat_ratio_3yr,AngryHappy_Ncamp_ratio_3yr,FearHappy_Ncamp_ratio_3yr,AngryHappy_N290lat_ratio_3yr,FearHappy_N290lat_ratio_3yr,AngryHappy_N290amp_ratio_3yr,FearHappy_N290amp_ratio_3yr
671,7,0,3,.3329925,.62735,.59189,.646854,4,4,5,5,4,.744979,.74885,.23005,.14877,6,5,4,5,4,.528116599608832,.529982633568291,.00596201284457771,.148746479952326,-.279924747197617,.0290836914799384,.0131032307842755,-.0702088177118884, , , , , , , , , , , , , , , , , , , , , 
672,12,0,3,.189268,.1370052,.2859196,.2858578,6,5,5,5,5, , , , , , , , ,0, , , , ,-.203396721631625,-.352106095457159,-.1167105927118,-.191934447139978, , , , , , , , , , , , , , , , , , , , , 
673,5,0,3,.33292,.1801194,.123954166666667,.1761715,3,5,6,6,3, , , , , , , , ,0, , , , ,.457381591211293,.184709358162997,.258040976558238,.085488522855893, , , , , , , , , , , , , , , , , , , , , 
674,5,1,3,.35644,.434344333333333,.548605,.395154666666667,5,6,6,6,5, , , , , , , , ,0, , , , ,-.212326458905358,-.116242681887978,-.0872537572586869,-.121072916342028, , , , , , , , , , , , , , , , , , , , , 
675,12,0,3, , , , , , , , ,0,.51254,.58814,.30961,.23494,6,2,5,2,2,.246828437633035,.310253411306043,.37459404106144,.0589277578625793, , , , , , , , , , , , , , , , , , , , , , , , , 
676,5,1,3, , , , , , , , ,0,.77098,.868789,.68932,.67418,6,6,6,5,6,.0559200164349791,.115183854274637,.128235285858025,.276611760579165, , , , , , , , , , , , , , , , , , , , , , , , , 
677,12,1,3, , , , , , , , ,0,.79983,.80874,.937119,1,5,4,5,3,4,-.0790403172459295,-.0735334296755924,-.120950987918753,-.35387912717329, , , , , , , , , , , , , , , , , , , , , , , , , 
678,5,1,3, , , , , , , , ,0, , , , , , , , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
679,5,1,3, , , , , , , , ,0,.810119,.774209,.829919,.5321,6,6,6,6,6,-.0120728909939891,-.034729148796106,.0892043063465721,.0421742935762484, , , , , , , , , , , , , , , , , , , , , , , , , 
680,7,1,3,.248052666666667,.323343833333333,.391905,.0978496666666667,6,6,6,3,6,.470289,.686069,.4147,.34472,5,6,6,5,5,.0628132101076962,.246526746301903,.0406973768622564,.0728446805708215,-.224784139367552,-.0958563837806563,-.0255185999506067,-.101413217614107, , , , , , , , , , , , , , , , , , , , , 
681,5,0,3,.329032,.418003333333333,.486751666666667,.2578455,5,6,6,6,5,.53868,.264309,.169619,.59175,4,4,6,5,4,.521052549841239,.218215925222618,.347757620275342,.120334307649754,-.193335161159964,-.0759855798899519,.108438117312912,.0807939576280743, , , , , , , , , , , , , , , , , , , , , 
